Isolate_Id,HA Segment_Id,Isolate_Name,Subtype,Lineage,Location,Host,Isolate_Submitter,Submitting_Lab,Submitting_Sample_Id,Authors,Publication,Originating_Lab,Originating_Sample_Id,Collection_Date
EPI_ISL_220847,EPI755706 | A/Athens.GR/108/2011,a/athens-gr/108/2011,A / H3N2,,Europe / Greece / Nomos Attica,Human,Thanos Kossyvakis (Hellenic Pasteur Institute),Hellenic Pasteur Institute,,"Athanasios, Kossyvakis; Kyriaki, Tryfinopoulou; Vasiliki, Pogka; Antonios, Kalliaropoulos; Emmanouil, Antalis ; Theodoros, Lytras; Alexios-Fotios A, Mentis; Adam, Meijer; Sotirios, Tsiodras; Petros, Karakitsos; Andreas F, Mentis",,Hellenic Pasteur Institute,,1/16/11
EPI_ISL_208799,EPI703340 | A/Thailand/MR08398/2010,a/thailand/mr08398/2010,A / H3N2,,Asia / Thailand,Human,Initial import,Other Database Import,,"Khemnu,N.; Gaywee,J.; Bodhidatta,L.; Wacharapluesadee,S.; Sirisopana,N.; Swierczewski,B.E.; Mason,C.J.",,,,9/1/10
EPI_ISL_208796,EPI703316 | A/Thailand/SP07127/2008,a/thailand/sp07127/2008,A / H3N2,,Asia / Thailand,Human,Initial import,Other Database Import,,"Khemnu,N.; Gaywee,J.; Bodhidatta,L.; Wacharapluesadee,S.; Sirisopana,N.; Swierczewski,B.E.; Mason,C.J.",,,,6/23/08
EPI_ISL_205350,EPI684769 | A/Thailand/CU-B5928/2011,a/thailand/cu-b5928/2011,A / H3N2,,Asia / Thailand,Human,Initial import,Other Database Import,,"Tewawong,N.; Prachayangprecha,S.; Thongmee,T.; Vichiwattana,P.; Theamboonlers,A.; Poovorawan,Y.",,,,11/15/11
EPI_ISL_198854,EPI657995 | HA_09BWB362_I1452,a/baden-wuerttemberg/362/2009,A / H3N2,,Europe / Germany,Human,Marianne Wedde (Robert Koch Institute Nationales Referenzzentrum für Influenza / FG 17: Influenza und weitere Viren des Respirationstraktes),Robert Koch Institute Nationales Referenzzentrum für Influenza,,"Wedde, M.; Schweiger, B.",,Landesgesundheitsamt Baden-Württemberg,,2/24/09
EPI_ISL_196940,EPI646431 | A/Parana/1358/2011,a/parana/1358/2011,A / H3N2,,South America / Brazil / Estado do Parana,Human,Fernando Couto Motta (Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)),Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS),,"Born, P.S.; Siqueira, M.M.; Resende, P.C.; Motta, F.C.",,Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS),,8/3/11
EPI_ISL_192738,EPI629789 | 15S0908,a/perth/164/2011,A / H3N2,,Oceania / Australia / Western Australia / Victoria Park,Human,Naomi Komadina (WHO Collaborating Centre for Reference and Research on Influenza /  ),WHO Collaborating Centre for Reference and Research on Influenza,1109986 VW61496,"Chong, K.; Deng, Y-M.; Sullivan, S.; Komadina, N.",,Pathwest QE II Medical Centre,2578032H,8/29/11
EPI_ISL_191106,EPI622594 | A/Hangzhou/766/2010,a/hangzhou/766/2010,A / H3N2,,Asia / China / Zhejiang,Human,Jun Li (Hangzhou Center for Disease Control and Prevention),Hangzhou Center for Disease Control and Prevention,,"Li,J.; Zhou,Y.Y.; Kou,Y.; Zheng,Z.B.; Yu,X.F.",,Hangzhou Center for Disease Control and Prevention,,9/14/10
EPI_ISL_189019,EPI619767 | A/Nicaragua/AGA2-30/2011,a/nicaragua/aga2-30/2011,A / H3N2,,North America / Nicaragua,Human,Initial import,Other Database Import,,"Wentworth,D.E.; Halpin,R.A.; Lin,X.; Bera,J.; Akopov,A.; Ransier,A.; Mohan,M.; Fedorova,N.; Tsitrin,T.; Puri,V.; Stockwell,T.; Amedeo,P.; Appalla,L.; Bishop,B.; Edworthy,P.; Gupta,N.; Hoover,J.; Katzel,D.; Li,K.; Schobel,S.; Shrivastava,S.; Thovarai,V.; Wang,S.; Bao,Y.; Sanders,R.; Zhdanov,S.; Kiryutin,B.; Lipman,D.J.; Tatusova,T.; Gordon,A.",,,,10/10/11
EPI_ISL_189001,EPI619964 | A/Nicaragua/AGA2-25/2011,a/nicaragua/aga2-25/2011,A / H3N2,,North America / Nicaragua,Human,Initial import,Other Database Import,,"Wentworth,D.E.; Halpin,R.A.; Lin,X.; Bera,J.; Akopov,A.; Ransier,A.; Mohan,M.; Fedorova,N.; Tsitrin,T.; Puri,V.; Stockwell,T.; Amedeo,P.; Appalla,L.; Bishop,B.; Edworthy,P.; Gupta,N.; Hoover,J.; Katzel,D.; Li,K.; Schobel,S.; Shrivastava,S.; Thovarai,V.; Wang,S.; Bao,Y.; Sanders,R.; Zhdanov,S.; Kiryutin,B.; Lipman,D.J.; Tatusova,T.; Gordon,A.",,,,10/6/11
EPI_ISL_188232,EPI609705 | A/Townsville/104/2010,a/townsville/104/2010,A / H3N2,,Oceania / Australia / Queensland,Human,Initial import,Other Database Import,,"Bedford,T.; Riley,S.; Barr,I.G.; Broor,S.; Chadha,M.; Cox,N.J.; Daniels,R.S.; Gunasekaran,C.P.; Hurt,A.C.; Kelso,A.; Klimov,A.; Lewis,N.S.; Li,X.; McCauley,J.W.; Odagiri,T.; Potdar,V.; Rambaut,A.; Shu,Y.; Skepner,E.; Smith,D.J.; Suchard,M.A.; Tashiro,M.; Wang,D.; Xu,X.; Lemey,P.; Russell,C.A.",,,,12/6/10
EPI_ISL_188190,EPI609663 | A/Heilongjiang Harbin Xiangfang/129/2010,a/heilongjiang-harbin-xiangfang/129/2010,A / H3N2,,Asia / China,Human,Initial import,Other Database Import,,"Bedford,T.; Riley,S.; Barr,I.G.; Broor,S.; Chadha,M.; Cox,N.J.; Daniels,R.S.; Gunasekaran,C.P.; Hurt,A.C.; Kelso,A.; Klimov,A.; Lewis,N.S.; Li,X.; McCauley,J.W.; Odagiri,T.; Potdar,V.; Rambaut,A.; Shu,Y.; Skepner,E.; Smith,D.J.; Suchard,M.A.; Tashiro,M.; Wang,D.; Xu,X.; Lemey,P.; Russell,C.A.",,,,1/5/10
EPI_ISL_188187,EPI609660 | A/Lyon/CHU20526/2009,a/lyon/chu20526/2009,A / H3N2,,Europe / France,Human,Initial import,Other Database Import,,"Bedford,T.; Riley,S.; Barr,I.G.; Broor,S.; Chadha,M.; Cox,N.J.; Daniels,R.S.; Gunasekaran,C.P.; Hurt,A.C.; Kelso,A.; Klimov,A.; Lewis,N.S.; Li,X.; McCauley,J.W.; Odagiri,T.; Potdar,V.; Rambaut,A.; Shu,Y.; Skepner,E.; Smith,D.J.; Suchard,M.A.; Tashiro,M.; Wang,D.; Xu,X.; Lemey,P.; Russell,C.A.",,,,5/14/09
EPI_ISL_188178,EPI609651 | A/Idaho/04/2009,a/idaho/04/2009,A / H3N2,,North America / United States / Idaho,Human,Initial import,Other Database Import,,"Bedford,T.; Riley,S.; Barr,I.G.; Broor,S.; Chadha,M.; Cox,N.J.; Daniels,R.S.; Gunasekaran,C.P.; Hurt,A.C.; Kelso,A.; Klimov,A.; Lewis,N.S.; Li,X.; McCauley,J.W.; Odagiri,T.; Potdar,V.; Rambaut,A.; Shu,Y.; Skepner,E.; Smith,D.J.; Suchard,M.A.; Tashiro,M.; Wang,D.; Xu,X.; Lemey,P.; Russell,C.A.",,,,3/14/09
EPI_ISL_187964,EPI609437 | A/South Australia/414/2010,a/south-australia/414/2010,A / H3N2,,Oceania / Australia / South Australia,Human,Initial import,Other Database Import,,"Bedford,T.; Riley,S.; Barr,I.G.; Broor,S.; Chadha,M.; Cox,N.J.; Daniels,R.S.; Gunasekaran,C.P.; Hurt,A.C.; Kelso,A.; Klimov,A.; Lewis,N.S.; Li,X.; McCauley,J.W.; Odagiri,T.; Potdar,V.; Rambaut,A.; Shu,Y.; Skepner,E.; Smith,D.J.; Suchard,M.A.; Tashiro,M.; Wang,D.; Xu,X.; Lemey,P.; Russell,C.A.",,,,10/4/10
EPI_ISL_187948,EPI609421 | A/India/7886/2008,a/india/7886/2008,A / H3N2,,Asia / India,Human,Initial import,Other Database Import,,"Bedford,T.; Riley,S.; Barr,I.G.; Broor,S.; Chadha,M.; Cox,N.J.; Daniels,R.S.; Gunasekaran,C.P.; Hurt,A.C.; Kelso,A.; Klimov,A.; Lewis,N.S.; Li,X.; McCauley,J.W.; Odagiri,T.; Potdar,V.; Rambaut,A.; Shu,Y.; Skepner,E.; Smith,D.J.; Suchard,M.A.; Tashiro,M.; Wang,D.; Xu,X.; Lemey,P.; Russell,C.A.",,,,5/15/08
EPI_ISL_187869,EPI609342 | A/Hunan Hengyang Yanfeng/165/2011,a/hunan-hengyang-yanfeng/165/2011,A / H3N2,,Asia / China,Human,Initial import,Other Database Import,,"Bedford,T.; Riley,S.; Barr,I.G.; Broor,S.; Chadha,M.; Cox,N.J.; Daniels,R.S.; Gunasekaran,C.P.; Hurt,A.C.; Kelso,A.; Klimov,A.; Lewis,N.S.; Li,X.; McCauley,J.W.; Odagiri,T.; Potdar,V.; Rambaut,A.; Shu,Y.; Skepner,E.; Smith,D.J.; Suchard,M.A.; Tashiro,M.; Wang,D.; Xu,X.; Lemey,P.; Russell,C.A.",,,,4/14/11
EPI_ISL_187711,EPI609184 | A/Singapore/512/2010,a/singapore/512/2010,A / H3N2,,Asia / Singapore,Human,Initial import,Other Database Import,,"Bedford,T.; Riley,S.; Barr,I.G.; Broor,S.; Chadha,M.; Cox,N.J.; Daniels,R.S.; Gunasekaran,C.P.; Hurt,A.C.; Kelso,A.; Klimov,A.; Lewis,N.S.; Li,X.; McCauley,J.W.; Odagiri,T.; Potdar,V.; Rambaut,A.; Shu,Y.; Skepner,E.; Smith,D.J.; Suchard,M.A.; Tashiro,M.; Wang,D.; Xu,X.; Lemey,P.; Russell,C.A.",,,,4/6/10
EPI_ISL_187690,EPI609163 | A/Laos/900/2010,a/laos/900/2010,A / H3N2,,"Asia / Lao, People's Democratic Republic",Human,Initial import,Other Database Import,,"Bedford,T.; Riley,S.; Barr,I.G.; Broor,S.; Chadha,M.; Cox,N.J.; Daniels,R.S.; Gunasekaran,C.P.; Hurt,A.C.; Kelso,A.; Klimov,A.; Lewis,N.S.; Li,X.; McCauley,J.W.; Odagiri,T.; Potdar,V.; Rambaut,A.; Shu,Y.; Skepner,E.; Smith,D.J.; Suchard,M.A.; Tashiro,M.; Wang,D.; Xu,X.; Lemey,P.; Russell,C.A.",,,,9/20/10
